spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months,comparison_role,validation_rank
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.005,,25.0,test,107,0.14886055299498402,0.1526383364220734,0.975250100887872,0.17140061088065583,0.1527571653615488,1.122046291412788,-0.28723756143460233,-0.04814859395054134,0.6557475855349684,1.5999999999999999,1.0,0.09380350400427928,0.9832759575669917,812.6168224299065,811.6168224299065,709,708,0.0504329467673785,0.6667253300233971,1.2864896831407129,107,0.08967175349916962,7.052654125961678,0.8037383177570093,107,top_validation,11
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.005,,25.0,validation,60,0.17125457987106985,0.09880606676942659,1.7332395213211835,0.19585698780247496,0.09853550388544931,1.987679365096311,-0.09094351012690338,-0.010525896073836425,0.70150520998363,1.5999999999999994,1.0,0.10534684545442197,1.7059170376695012,676.0333333333333,675.0333333333333,651,650,0.08821871069151653,0.6085136434825279,2.735741884192903,60,0.09313225421719075,6.503703461364478,0.8166666666666667,60,top_validation,11
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.01,,25.0,test,107,0.14886055299498402,0.1526383364220734,0.975250100887872,0.17140061088065583,0.1527571653615488,1.122046291412788,-0.28723756143460233,-0.04814859395054134,0.6557475855349684,1.5999999999999999,1.0,0.09380350400427928,0.9832759575669917,812.6168224299065,811.6168224299065,709,708,0.0504329467673785,0.6667253300233971,1.2864896831407129,107,0.08967175349916962,7.052654125961678,0.8037383177570093,107,top_validation,12
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.01,,25.0,validation,60,0.17125457987106985,0.09880606676942659,1.7332395213211835,0.19585698780247496,0.09853550388544931,1.987679365096311,-0.09094351012690338,-0.010525896073836425,0.70150520998363,1.5999999999999994,1.0,0.10534684545442197,1.7059170376695012,676.0333333333333,675.0333333333333,651,650,0.08821871069151653,0.6085136434825279,2.735741884192903,60,0.09313225421719075,6.503703461364478,0.8166666666666667,60,top_validation,12
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.02__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.02,,25.0,test,107,0.14886055299498402,0.1526383364220734,0.975250100887872,0.17140061088065583,0.1527571653615488,1.122046291412788,-0.28723756143460233,-0.04814859395054134,0.6557475855349684,1.5999999999999999,1.0,0.09380350400427928,0.9832759575669917,812.6168224299065,811.6168224299065,709,708,0.0504329467673785,0.6667253300233971,1.2864896831407129,107,0.08967175349916962,7.052654125961678,0.8037383177570093,107,top_validation,13
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.02__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.02,,25.0,validation,60,0.17125457987106985,0.09880606676942659,1.7332395213211835,0.19585698780247496,0.09853550388544931,1.987679365096311,-0.09094351012690338,-0.010525896073836425,0.70150520998363,1.5999999999999994,1.0,0.10534684545442197,1.7059170376695012,676.0333333333333,675.0333333333333,651,650,0.08821871069151653,0.6085136434825279,2.735741884192903,60,0.09313225421719075,6.503703461364478,0.8166666666666667,60,top_validation,13
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.0,,25.0,test,107,0.14886055299498402,0.1526383364220734,0.975250100887872,0.17140061088065583,0.1527571653615488,1.122046291412788,-0.28723756143460233,-0.04814859395054134,0.6557475855349684,1.5999999999999999,1.0,0.09380350400427928,0.9832759575669917,812.6168224299065,811.6168224299065,709,708,0.0504329467673785,0.6667253300233971,1.2864896831407129,107,0.08967175349916962,7.052654125961678,0.8037383177570093,107,top_validation,14
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,absolute,0.0,,25.0,validation,60,0.17125457987106985,0.09880606676942659,1.7332395213211835,0.19585698780247496,0.09853550388544931,1.987679365096311,-0.09094351012690338,-0.010525896073836425,0.70150520998363,1.5999999999999994,1.0,0.10534684545442197,1.7059170376695012,676.0333333333333,675.0333333333333,651,650,0.08821871069151653,0.6085136434825279,2.735741884192903,60,0.09313225421719075,6.503703461364478,0.8166666666666667,60,top_validation,14
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,none,,,25.0,test,107,0.14886055299498402,0.1526383364220734,0.975250100887872,0.17140061088065583,0.1527571653615488,1.122046291412788,-0.28723756143460233,-0.04814859395054134,0.6557475855349684,1.5999999999999999,1.0,0.09380350400427928,0.9832759575669917,812.6168224299065,811.6168224299065,709,708,0.0504329467673785,0.6667253300233971,1.2864896831407129,107,0.08967175349916962,7.052654125961678,0.8037383177570093,107,top_validation,15
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.1,none,,,25.0,validation,60,0.17125457987106985,0.09880606676942659,1.7332395213211835,0.19585698780247496,0.09853550388544931,1.987679365096311,-0.09094351012690338,-0.010525896073836425,0.70150520998363,1.5999999999999994,1.0,0.10534684545442197,1.7059170376695012,676.0333333333333,675.0333333333333,651,650,0.08821871069151653,0.6085136434825279,2.735741884192903,60,0.09313225421719075,6.503703461364478,0.8166666666666667,60,top_validation,15
