spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months
dl_xgb__mlp_score__long_short_130_30__q0.1__absolute__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.1,absolute,0.0,,25.0,validation,60,0.09947719731206006,0.15736890751900462,0.6321273933991486,0.1394849784627601,0.15736514794898046,0.886377830674316,-0.20594985188217318,-0.03312066602568893,1.2012763082154285,1.5999999999999994,1.0,0.06416715605664436,0.6523998374852567,676.0333333333333,675.0333333333333,651,650,-0.04124375900562547,1.1943755913831406,-1.2196439135714974,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.1__none__thrna__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.1,none,,,25.0,test,107,0.14996762890813198,0.16925674187020226,0.8860363684841428,0.19031368110050084,0.16933378854893733,1.1238966701881847,-0.32172299342863975,-0.03236752987581689,1.163849042992475,1.5999999999999996,1.0,0.09520521478917399,0.8999839059852296,812.6168224299065,811.6168224299065,709,708,0.015366927020077387,0.9235630820799128,0.48941357181414724,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.1__none__thrna__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.1,none,,,25.0,validation,60,0.09947719731206006,0.15736890751900462,0.6321273933991486,0.1394849784627601,0.15736514794898046,0.886377830674316,-0.20594985188217318,-0.03312066602568893,1.2012763082154285,1.5999999999999994,1.0,0.06416715605664436,0.6523998374852567,676.0333333333333,675.0333333333333,651,650,-0.04124375900562547,1.1943755913831406,-1.2196439135714974,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.1__sign__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.1,sign,0.0,,25.0,test,107,0.14996762890813198,0.16925674187020226,0.8860363684841428,0.19031368110050084,0.16933378854893733,1.1238966701881847,-0.32172299342863975,-0.03236752987581689,1.163849042992475,1.5999999999999996,1.0,0.09520521478917399,0.8999839059852296,812.6168224299065,811.6168224299065,709,708,0.015366927020077387,0.9235630820799128,0.48941357181414724,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.1__sign__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.1,sign,0.0,,25.0,validation,60,0.09947719731206006,0.15736890751900462,0.6321273933991486,0.1394849784627601,0.15736514794898046,0.886377830674316,-0.20594985188217318,-0.03312066602568893,1.2012763082154285,1.5999999999999994,1.0,0.06416715605664436,0.6523998374852567,676.0333333333333,675.0333333333333,651,650,-0.04124375900562547,1.1943755913831406,-1.2196439135714974,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0.005__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.005,,25.0,test,107,0.1276959190572331,0.15016565646430638,0.8503670017757075,0.16220078335565025,0.1502993098223627,1.0791851509321886,-0.30731959148917165,-0.032070763981085,1.0158144552089745,1.5999999999999999,1.0,0.08106737594267299,0.8637647552861576,1624.7570093457944,1616.4953271028037,1417,968,0.009078442537883515,0.814137046399567,0.3207041290624332,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0.005__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.005,,25.0,validation,60,0.09761278496064585,0.15171610890299356,0.6433910391351977,0.1308622080648496,0.1517864975152849,0.8621465690758942,-0.2052401433025628,-0.030574957600658294,1.00312515836105,1.5999999999999994,1.0,0.06280934113891701,0.6623881046575161,1350.0,1347.8666666666666,1232,1262,-0.041509120357250046,1.1756064889211557,-1.3909061137327043,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.01,,25.0,test,107,0.1271683884427286,0.1500645227890482,0.8474247349021619,0.16171425379775406,0.1501877276377092,1.0767474569416866,-0.30731959148917176,-0.03241742428359524,1.0173851853325886,1.5999999999999999,1.0,0.0807473462133359,0.8609346935581381,1624.7570093457944,1604.177570093458,1417,741,0.008648079212973753,0.8137739066072687,0.3058769679586602,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.01,,25.0,validation,60,0.09898378682924647,0.15176290614291071,0.6522264850149635,0.1328763166194633,0.15185591919165967,0.8750157209990483,-0.2052401433025628,-0.030170502316596823,1.0212340352663896,1.5999999999999994,1.0,0.0636430525939704,0.6709734726248809,1338.2,1328.6833333333334,954,1105,-0.04013590655485623,1.1747416835997027,-1.3378512921612624,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.02,,25.0,test,107,0.1261831781272631,0.15036605408857423,0.8391733020601443,0.16244887541150366,0.15042808924448298,1.0799105155652406,-0.30884214788341924,-0.032926877411575614,1.0678423470089753,1.5999999999999999,1.0,0.08016927674982499,0.8530571848627556,1581.6915887850466,1519.2429906542056,661,479,0.0077931242390780805,0.8139345807466585,0.27387851885906633,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
