spec_id,split,model_family,score_label,rule,q,gate_type,threshold,overlay_method,method_label,base_annualized_return,overlay_annualized_return,delta_annualized_return,base_annualized_volatility,overlay_annualized_volatility,delta_annualized_volatility,base_sharpe,overlay_sharpe,delta_sharpe,base_average_drawdown,overlay_average_drawdown,delta_average_drawdown,base_max_drawdown,overlay_max_drawdown,delta_max_drawdown,overlay_average_lambda,overlay_average_turnover
baseline_with_boosting__naive_momentum__gross_normalized_long_short__q0.2__absolute__thr0.02__zna__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,0.2,absolute,0.02,dd_speed_phase_control,DD speed/phase,0.014653232742389388,0.004756787155397735,-0.009896445586991653,0.08355598096776023,0.07234655261711863,-0.011209428350641606,0.17537024366984913,0.065750018256878,-0.10962022541297113,-0.07596262361597457,-0.08527856471912315,-0.009315941103148581,-0.2278575076651319,-0.20356755218429046,0.024289955480841452,0.7791666666666666,0.5615147710255226
baseline_with_boosting__naive_momentum__gross_normalized_long_short__q0.2__absolute__thr0.02__zna__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,0.2,absolute,0.02,dd_speed_phase_vol_target,DD speed/phase + vol target,0.014653232742389388,0.00485317043879685,-0.009800062303592538,0.08355598096776023,0.07002431466387489,-0.013531666303885345,0.17537024366984913,0.0693069323433246,-0.10606331132652452,-0.07596262361597457,-0.08679478617625823,-0.010832162560283659,-0.2278575076651319,-0.19815954502158017,0.029697962643551734,0.7382611036241928,0.5465727735947647
baseline_with_boosting__naive_momentum__gross_normalized_long_short__qna__zscore__thrna__z0.75__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,,zscore,,dd_speed_phase_control,DD speed/phase,0.027267533995589455,0.01664314162887215,-0.010624392366717306,0.10360044860152633,0.09327082095660649,-0.010329627644919834,0.2631989954065481,0.17843888858462217,-0.08476010682192595,-0.0672938065622477,-0.08556188503567125,-0.018268078473423544,-0.2744487137074353,-0.258532979975444,0.01591573373199129,0.8087962962962962,0.6586398207406007
baseline_with_boosting__naive_momentum__gross_normalized_long_short__qna__zscore__thrna__z0.75__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,,zscore,,dd_speed_phase_vol_target,DD speed/phase + vol target,0.027267533995589455,0.014450492432269924,-0.012817041563319531,0.10360044860152633,0.09067975922933771,-0.012920689372188612,0.2631989954065481,0.15935741950663165,-0.10384157589991647,-0.0672938065622477,-0.08662570352275957,-0.019331896960511866,-0.2744487137074353,-0.23987046837552561,0.034578245331909674,0.7586977707726826,0.641814394253282
baseline_with_boosting__naive_momentum__gross_normalized_long_short__qna__zscore__thrna__z1__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,,zscore,,dd_speed_phase_control,DD speed/phase,0.025553740845622785,0.01700669482133188,-0.008547046024290905,0.12210764580467863,0.1102256400305808,-0.011882005774097829,0.2092722423499846,0.15428982600249427,-0.05498241634749032,-0.07849344126500835,-0.07887096342600301,-0.0003775221609946672,-0.309679282011156,-0.25028995445297664,0.05938932755817938,0.8171296296296297,0.69565433403069
baseline_with_boosting__naive_momentum__gross_normalized_long_short__qna__zscore__thrna__z1__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,gross_normalized_long_short,,zscore,,dd_speed_phase_vol_target,DD speed/phase + vol target,0.025553740845622785,0.02173637930754313,-0.0038173615380796555,0.12210764580467863,0.10530110378425932,-0.016806542020419313,0.2092722423499846,0.20642119148225244,-0.0028510508677321578,-0.07849344126500835,-0.07454814398945125,0.003945297275557091,-0.309679282011156,-0.1991106160438082,0.11056866596734782,0.7714978370671988,0.6686098155031954
baseline_with_boosting__naive_momentum__long_short__qna__zscore__thrna__z0.75__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,long_short,,zscore,,dd_speed_phase_control,DD speed/phase,0.042654440616089584,0.024905897929956344,-0.01774854268613324,0.20723400594067876,0.18844886445735665,-0.01878514148332211,0.20582741921371497,0.13216263203110043,-0.07366478718261454,-0.13583533541643764,-0.1644624599774849,-0.028627124561047268,-0.4885225267522435,-0.45936354716399774,0.02915897958824576,0.8162037037037037,1.3514997153055168
baseline_with_boosting__naive_momentum__long_short__qna__zscore__thrna__z0.75__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,long_short,,zscore,,dd_speed_phase_vol_target,DD speed/phase + vol target,0.042654440616089584,0.019137834212553884,-0.0235166064035357,0.20723400594067876,0.18270558701218922,-0.02452841892848953,0.20582741921371497,0.10474684723941749,-0.10108057197429748,-0.13583533541643764,-0.1684408387130773,-0.032605503296639665,-0.4885225267522435,-0.4301396140808652,0.058382912671378295,0.7687284016106098,1.313857621171511
baseline_with_boosting__naive_momentum__long_short__qna__zscore__thrna__z1__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,long_short,,zscore,,dd_speed_phase_control,DD speed/phase,0.033737635470825866,0.02948114020617254,-0.004256495264653326,0.24425294306553672,0.21886975580857776,-0.025383187256958956,0.13812580944735456,0.1346971859920042,-0.0034286234553503603,-0.1585510045312763,-0.13666949188039293,0.021881512650883367,-0.5464859788961548,-0.4428991658633554,0.10358681303279937,0.8310185185185185,1.4134587738664572
baseline_with_boosting__naive_momentum__long_short__qna__zscore__thrna__z1__cost25,test,Naive Momentum,baseline_with_boosting__naive_momentum,long_short,,zscore,,dd_speed_phase_vol_target,DD speed/phase + vol target,0.033737635470825866,0.037579572538080086,0.0038419370672542197,0.24425294306553672,0.20844993004910578,-0.035803013016430935,0.13812580944735456,0.18028105132598146,0.0421552418786269,-0.1585510045312763,-0.12719842954874802,0.031352574982528275,-0.5464859788961548,-0.3533326285137032,0.19315335038245163,0.7762861952091002,1.3429233991698037
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__absolute__thr0.005__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.12600300602177628,0.11341894765003246,-0.012584058371743811,0.12207740441461919,0.10466160545238251,-0.017415798962236675,1.032156660161485,1.0836729205499742,0.05151626038848911,-0.0468020186296542,-0.03670188873782644,0.010100129891827757,-0.28670473137241914,-0.18567218297292198,0.10103254839949716,0.8630841121495326,0.7581559115616935
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__absolute__thr0.005__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.12600300602177628,0.10586693967362404,-0.020136066348152237,0.12207740441461919,0.10082552309014595,-0.02125188132447324,1.032156660161485,1.0500013927918892,0.017844732630404092,-0.0468020186296542,-0.03869326439797791,0.008108754231676285,-0.28670473137241914,-0.16336974282976335,0.12333498854265579,0.8175189460442803,0.7412820450937998
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,absolute,0.01,dd_speed_phase_control,DD speed/phase,0.16144492110949926,0.13764457416222453,-0.02380034694727473,0.13553662427841442,0.12366649894823638,-0.011870125330178047,1.1911534758152524,1.113030411088447,-0.07812306472680541,-0.038400404284532196,-0.039897317698475876,-0.0014969134139436804,-0.25208362966556996,-0.22757719807764631,0.02450643158792365,0.8785046728971961,0.8284381534087576
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,absolute,0.01,dd_speed_phase_vol_target,DD speed/phase + vol target,0.16144492110949926,0.1436017528513005,-0.01784316825819876,0.13553662427841442,0.11629403979896065,-0.019242584479453775,1.1911534758152524,1.2348161014919348,0.04366262567668233,-0.038400404284532196,-0.03490640066670106,0.003494003617831136,-0.25208362966556996,-0.1715002242159046,0.08058340544966536,0.8448988161123432,0.8150749895233804
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__absolute__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,absolute,0.0,dd_speed_phase_control,DD speed/phase,0.12273614618247963,0.1108333540323545,-0.01190279215012513,0.11443641834324172,0.09872534815539473,-0.015711070187846995,1.072526980129207,1.1226433342924418,0.05011635416323479,-0.04554087978549063,-0.03615777969564075,0.009383100089849883,-0.27661362350848606,-0.18257618187449254,0.09403744163399352,0.8565420560747663,0.7061392242846576
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__absolute__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,absolute,0.0,dd_speed_phase_vol_target,DD speed/phase + vol target,0.12273614618247963,0.1042381456148127,-0.018498000567666928,0.11443641834324172,0.09659264866260983,-0.017843769680631894,1.072526980129207,1.0791519547093895,0.006624974580182519,-0.04554087978549063,-0.038331316245922266,0.007209563539568364,-0.27661362350848606,-0.1732264777376843,0.10338714577080177,0.8232737446708258,0.6930156938228796
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__sign__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,sign,0.0,dd_speed_phase_control,DD speed/phase,0.12273614618247963,0.1108333540323545,-0.01190279215012513,0.11443641834324172,0.09872534815539473,-0.015711070187846995,1.072526980129207,1.1226433342924418,0.05011635416323479,-0.04554087978549063,-0.03615777969564075,0.009383100089849883,-0.27661362350848606,-0.18257618187449254,0.09403744163399352,0.8565420560747663,0.7061392242846576
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.1__sign__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.1,sign,0.0,dd_speed_phase_vol_target,DD speed/phase + vol target,0.12273614618247963,0.1042381456148127,-0.018498000567666928,0.11443641834324172,0.09659264866260983,-0.017843769680631894,1.072526980129207,1.0791519547093895,0.006624974580182519,-0.04554087978549063,-0.038331316245922266,0.007209563539568364,-0.27661362350848606,-0.1732264777376843,0.10338714577080177,0.8232737446708258,0.6930156938228796
