spec_id,split,model_family,score_label,rule,q,gate_type,threshold,z_threshold,validation_rank,overlay_method,method_label,overlay_average_lambda,overlay_min_lambda,overlay_months_below_full_exposure,overlay_months_vol_cap_binding,overlay_average_turnover,overlay_average_trading_cost,base_months,base_annualized_return,base_annualized_volatility,base_sharpe,base_average_drawdown,base_max_drawdown,base_terminal_wealth,overlay_months,overlay_annualized_return,overlay_annualized_volatility,overlay_sharpe,overlay_average_drawdown,overlay_max_drawdown,overlay_terminal_wealth,delta_annualized_return,delta_annualized_volatility,delta_sharpe,delta_average_drawdown,delta_max_drawdown,delta_terminal_wealth
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,absolute,0.01,,215,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,absolute,0.01,,215,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__absolute__thr0__zna__cost25,test,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,absolute,0.0,,216,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9541842575919317,0.0023854606439798294,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.14887999749505565,0.13853253374713295,1.0746933840595898,-0.02814983036839583,-0.22822135136540156,3.447062240944435,-0.04167584611091102,-0.03558974958536132,-0.019686036879267066,0.0009740846593816917,0.09655862453535424,-1.28919691900792
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__absolute__thr0__zna__cost25,test,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,absolute,0.0,,216,dd_speed_phase_vol_target,DD speed/phase + vol target,0.840267535844989,0.2148781037234868,59,27,0.920099322592959,0.0023002483064823976,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.1325411298326935,0.1279094570968747,1.0362105573813116,-0.030119259901431533,-0.1787732055410578,3.033760890246789,-0.05801471377327316,-0.046212826235619564,-0.05816886355754525,-0.0009953448736540124,0.146006770359698,-1.7024982697055657
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__absolute__thr0__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,absolute,0.0,,216,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__absolute__thr0__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,absolute,0.0,,216,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__none__thrna__zna__cost25,test,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,none,,,217,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9541842575919317,0.0023854606439798294,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.14887999749505565,0.13853253374713295,1.0746933840595898,-0.02814983036839583,-0.22822135136540156,3.447062240944435,-0.04167584611091102,-0.03558974958536132,-0.019686036879267066,0.0009740846593816917,0.09655862453535424,-1.28919691900792
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__none__thrna__zna__cost25,test,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,none,,,217,dd_speed_phase_vol_target,DD speed/phase + vol target,0.840267535844989,0.2148781037234868,59,27,0.920099322592959,0.0023002483064823976,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.1325411298326935,0.1279094570968747,1.0362105573813116,-0.030119259901431533,-0.1787732055410578,3.033760890246789,-0.05801471377327316,-0.046212826235619564,-0.05816886355754525,-0.0009953448736540124,0.146006770359698,-1.7024982697055657
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__none__thrna__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,none,,,217,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__none__thrna__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,none,,,217,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__sign__thr0__zna__cost25,test,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,sign,0.0,,218,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9541842575919317,0.0023854606439798294,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.14887999749505565,0.13853253374713295,1.0746933840595898,-0.02814983036839583,-0.22822135136540156,3.447062240944435,-0.04167584611091102,-0.03558974958536132,-0.019686036879267066,0.0009740846593816917,0.09655862453535424,-1.28919691900792
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__sign__thr0__zna__cost25,test,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,sign,0.0,,218,dd_speed_phase_vol_target,DD speed/phase + vol target,0.840267535844989,0.2148781037234868,59,27,0.920099322592959,0.0023002483064823976,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.1325411298326935,0.1279094570968747,1.0362105573813116,-0.030119259901431533,-0.1787732055410578,3.033760890246789,-0.05801471377327316,-0.046212826235619564,-0.05816886355754525,-0.0009953448736540124,0.146006770359698,-1.7024982697055657
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__sign__thr0__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,sign,0.0,,218,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
dl_xgb__temporal_classifier_score__long_short_130_30__q0.1__sign__thr0__zna__cost25,validation,TTT,dl_xgb__temporal_classifier_score,long_short_130_30,0.1,sign,0.0,,218,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.005,,219,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9541842575919317,0.0023854606439798294,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.14887999749505565,0.13853253374713295,1.0746933840595898,-0.02814983036839583,-0.22822135136540156,3.447062240944435,-0.04167584611091102,-0.03558974958536132,-0.019686036879267066,0.0009740846593816917,0.09655862453535424,-1.28919691900792
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.005,,219,dd_speed_phase_vol_target,DD speed/phase + vol target,0.840267535844989,0.2148781037234868,59,27,0.920099322592959,0.0023002483064823976,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.1325411298326935,0.1279094570968747,1.0362105573813116,-0.030119259901431533,-0.1787732055410578,3.033760890246789,-0.05801471377327316,-0.046212826235619564,-0.05816886355754525,-0.0009953448736540124,0.146006770359698,-1.7024982697055657
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.005,,219,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.005,,219,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.01,,220,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9582000912800402,0.0023955002282001012,107,0.18972546824985503,0.17388601337824378,1.0910910231586979,-0.029154128442350977,-0.3247799759007558,4.706885102648383,107,0.14807733712169457,0.1382265092538693,1.071265836929536,-0.028587149706150755,-0.22822135136540156,3.4256477351784373,-0.04164813112816046,-0.035659504124374464,-0.01982518622916185,0.0005669787362002215,0.09655862453535424,-1.2812373674699455
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.01,,220,dd_speed_phase_vol_target,DD speed/phase + vol target,0.8404097316547482,0.2148781037234868,59,27,0.9236905307409674,0.002309226326852419,107,0.18972546824985503,0.17388601337824378,1.0910910231586979,-0.029154128442350977,-0.3247799759007558,4.706885102648383,107,0.13181803169965312,0.1276759002364733,1.0324425475403582,-0.03051626145741161,-0.1787732055410578,3.0165330920179514,-0.05790743655020192,-0.04621011314177048,-0.058648475618339635,-0.0013621330150606348,0.146006770359698,-1.6903520106304315
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.01,,220,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.01,,220,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.0,,221,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9541842575919317,0.0023854606439798294,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.14887999749505565,0.13853253374713295,1.0746933840595898,-0.02814983036839583,-0.22822135136540156,3.447062240944435,-0.04167584611091102,-0.03558974958536132,-0.019686036879267066,0.0009740846593816917,0.09655862453535424,-1.28919691900792
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.0,,221,dd_speed_phase_vol_target,DD speed/phase + vol target,0.840267535844989,0.2148781037234868,59,27,0.920099322592959,0.0023002483064823976,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.1325411298326935,0.1279094570968747,1.0362105573813116,-0.030119259901431533,-0.1787732055410578,3.033760890246789,-0.05801471377327316,-0.046212826235619564,-0.05816886355754525,-0.0009953448736540124,0.146006770359698,-1.7024982697055657
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.0,,221,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,absolute,0.0,,221,dd_speed_phase_vol_target,DD speed/phase + vol target,0.864263898244662,0.33242176942910245,28,17,0.9168284915567249,0.002292071228891812,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.12054159446064072,0.11889584876193791,1.0138419105110898,-0.026063086835532937,-0.12116964103722849,1.7666068530375654,-0.03815809828074901,-0.027282619138520522,-0.07181519768529476,-0.0022777238731988177,0.033323976132352495,-0.3219892290959865
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,none,,,222,dd_speed_phase_control,DD speed/phase,0.8953271028037382,0.5,45,0,0.9541842575919317,0.0023854606439798294,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.14887999749505565,0.13853253374713295,1.0746933840595898,-0.02814983036839583,-0.22822135136540156,3.447062240944435,-0.04167584611091102,-0.03558974958536132,-0.019686036879267066,0.0009740846593816917,0.09655862453535424,-1.28919691900792
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,test,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,none,,,222,dd_speed_phase_vol_target,DD speed/phase + vol target,0.840267535844989,0.2148781037234868,59,27,0.920099322592959,0.0023002483064823976,107,0.19055584360596667,0.17412228333249427,1.0943794209388569,-0.02912391502777752,-0.3247799759007558,4.736259159952355,107,0.1325411298326935,0.1279094570968747,1.0362105573813116,-0.030119259901431533,-0.1787732055410578,3.033760890246789,-0.05801471377327316,-0.046212826235619564,-0.05816886355754525,-0.0009953448736540124,0.146006770359698,-1.7024982697055657
temporal_tabular_backtest__default_seed362559_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,validation,TTT,temporal_tabular_backtest__default_seed362559_classifier,long_short_130_30,0.1,none,,,222,dd_speed_phase_control,DD speed/phase,0.925,0.5,18,0,0.9600435923525136,0.0024001089808812835,60,0.15869969274138973,0.14617846790045844,1.0856571081963846,-0.02378536296233412,-0.154493617169581,2.088596082133552,60,0.13943200994037608,0.12230901990019681,1.1399977700267037,-0.023220526085063167,-0.1211696410372286,1.9206227967585074,-0.019267682801013652,-0.023869448000261625,0.05434066183031905,0.0005648368772709529,0.033323976132352384,-0.1679732853750444
