spec_id,validation_rank,split,model_family,score_label,rule,gate_type,q,threshold,z_threshold,net_sharpe,net_annualized_return,annualized_alpha,beta,alpha_tstat,alpha_beta_months
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,15,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,none,0.1,,,1.7332395213211835,0.17125457987106985,0.08821871069151653,0.6085136434825279,2.735741884192903,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__sign__thr0__zna__cost25,16,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,sign,0.1,0.0,,0.975250100887872,0.14886055299498402,0.0504329467673785,0.6667253300233971,1.2864896831407129,107
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__sign__thr0__zna__cost25,16,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,sign,0.1,0.0,,1.7332395213211835,0.17125457987106985,0.08821871069151653,0.6085136434825279,2.735741884192903,60
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__absolute__thr0__zna__cost25,17,test,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,absolute,0.1,0.0,,1.1526943051505767,0.2041932096094896,0.08346127550878689,0.7913067192104594,1.8714526498745354,107
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__absolute__thr0__zna__cost25,17,validation,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,absolute,0.1,0.0,,1.732250209708101,0.21473615952571223,0.10874828121427085,0.7628219682125651,2.68556381245592,60
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__sign__thr0__zna__cost25,18,test,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,sign,0.1,0.0,,1.1526943051505767,0.2041932096094896,0.08346127550878689,0.7913067192104594,1.8714526498745354,107
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.1__sign__thr0__zna__cost25,18,validation,TTT,temporal_tabular_backtest__small_random_er_train,long_short_130_30,sign,0.1,0.0,,1.732250209708101,0.21473615952571223,0.10874828121427085,0.7628219682125651,2.68556381245592,60
temporal_tabular_backtest__tiny_random_classifier__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,19,test,TTT,temporal_tabular_backtest__tiny_random_classifier,long_short_130_30,absolute,0.2,0.02,,0.9696080703781224,0.14669516855432163,0.032894525607992386,0.7692778420126541,1.013981706394527,107
temporal_tabular_backtest__tiny_random_classifier__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,19,validation,TTT,temporal_tabular_backtest__tiny_random_classifier,long_short_130_30,absolute,0.2,0.02,,1.7211224447639637,0.17704252442538193,0.07726706597678851,0.7396948765990677,2.9634374234600895,60
temporal_tabular_backtest__tiny_random_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,20,test,TTT,temporal_tabular_backtest__tiny_random_classifier,long_short_130_30,absolute,0.1,0.005,,1.017491154078562,0.1574446590343075,0.05133647046285445,0.7124793918624366,1.3577716063838454,107
temporal_tabular_backtest__tiny_random_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,20,validation,TTT,temporal_tabular_backtest__tiny_random_classifier,long_short_130_30,absolute,0.1,0.005,,1.7168955322883244,0.18141445577299553,0.0853950319309938,0.7070642731202728,2.7637427647931423,60
