model,split,month,rank_ic
gradient_boosting_reg,train,2002-08-30,0.37852951677347796
gradient_boosting_reg,train,2002-09-30,0.1773184377681356
gradient_boosting_reg,train,2002-10-31,0.3621661335900851
gradient_boosting_reg,train,2002-11-29,0.414957709693956
gradient_boosting_reg,train,2002-12-31,0.11998871452704468
gradient_boosting_reg,train,2003-01-31,0.15460944552384737
gradient_boosting_reg,train,2003-02-28,-0.03507283488642072
gradient_boosting_reg,train,2003-03-31,0.2183528060779993
gradient_boosting_reg,train,2003-04-30,0.3652215354691704
gradient_boosting_reg,train,2003-05-30,0.10281823201911815
gradient_boosting_reg,train,2003-06-30,0.17156000502460153
gradient_boosting_reg,train,2003-07-31,0.14481986778962233
gradient_boosting_reg,train,2003-08-29,0.03855221994700861
gradient_boosting_reg,train,2003-09-30,0.1756850194953683
gradient_boosting_reg,train,2003-10-31,0.039838922474526764
gradient_boosting_reg,train,2003-11-28,-0.11132293241406836
gradient_boosting_reg,train,2003-12-31,0.26079889714233456
gradient_boosting_reg,train,2004-01-30,0.1884860855787853
gradient_boosting_reg,train,2004-02-27,0.15123901808762402
gradient_boosting_reg,train,2004-03-31,0.16463049370823143
gradient_boosting_reg,train,2004-04-30,0.08902711631339125
gradient_boosting_reg,train,2004-05-28,0.12178060123481436
gradient_boosting_reg,train,2004-06-30,0.3767690051621766
gradient_boosting_reg,train,2004-07-30,0.1679282902579053
gradient_boosting_reg,train,2004-08-31,0.1650482694483813
gradient_boosting_reg,train,2004-09-30,0.09107156528441115
gradient_boosting_reg,train,2004-10-29,0.20083746457811766
gradient_boosting_reg,train,2004-11-30,0.134508977634988
gradient_boosting_reg,train,2004-12-31,0.2531148837993102
gradient_boosting_reg,train,2005-01-31,0.1817039107527806
gradient_boosting_reg,train,2005-02-28,0.1511702418380564
gradient_boosting_reg,train,2005-03-31,0.26131117794727055
gradient_boosting_reg,train,2005-04-29,0.08733686490491267
gradient_boosting_reg,train,2005-05-31,0.059191698025704204
gradient_boosting_reg,train,2005-06-30,0.13201960363459755
gradient_boosting_reg,train,2005-07-29,0.07860248300566146
gradient_boosting_reg,train,2005-08-31,0.09535817971306193
gradient_boosting_reg,train,2005-09-30,0.18260540862707358
gradient_boosting_reg,train,2005-10-31,0.15068683798631236
gradient_boosting_reg,train,2005-11-30,0.06763691750064207
gradient_boosting_reg,train,2005-12-30,0.23587787975740954
gradient_boosting_reg,train,2006-01-31,-0.012229251885797864
gradient_boosting_reg,train,2006-02-28,0.1494933462068482
gradient_boosting_reg,train,2006-03-31,0.14460514945070052
gradient_boosting_reg,train,2006-04-28,0.26669547605243377
gradient_boosting_reg,train,2006-05-31,0.115218104310347
gradient_boosting_reg,train,2006-06-30,0.261023642753777
gradient_boosting_reg,train,2006-07-31,-0.020740679725675074
gradient_boosting_reg,train,2006-08-31,0.0829433579189215
gradient_boosting_reg,train,2006-09-29,0.10291281383443864
gradient_boosting_reg,train,2006-10-31,0.03611751315661611
gradient_boosting_reg,train,2006-11-30,0.0689691524151234
gradient_boosting_reg,train,2006-12-29,0.09094961329518757
gradient_boosting_reg,train,2007-01-31,0.027109690120213057
gradient_boosting_reg,train,2007-02-28,0.12283931236113471
gradient_boosting_reg,train,2007-03-30,0.10677792238782197
gradient_boosting_reg,train,2007-04-30,0.15105858582027404
gradient_boosting_reg,train,2007-05-31,0.07317166286324747
gradient_boosting_reg,train,2007-06-29,0.0928678793167846
gradient_boosting_reg,train,2007-07-31,0.19332260646094496
gradient_boosting_reg,train,2007-08-31,0.17988631550974682
gradient_boosting_reg,train,2007-09-28,0.20373992026252277
gradient_boosting_reg,train,2007-10-31,0.319717203469447
gradient_boosting_reg,train,2007-11-30,0.17982642738572704
gradient_boosting_reg,train,2007-12-31,0.24557248622611097
gradient_boosting_reg,train,2008-01-31,0.158978548774437
gradient_boosting_reg,train,2008-02-29,0.2101613407115092
gradient_boosting_reg,train,2008-03-31,0.09709258511440048
gradient_boosting_reg,train,2008-04-30,0.13807081195764642
gradient_boosting_reg,train,2008-05-30,0.31735310783448256
gradient_boosting_reg,train,2008-06-30,0.05706381773834382
gradient_boosting_reg,train,2008-07-31,0.1779344027106846
gradient_boosting_reg,train,2008-08-29,0.24363054004221757
gradient_boosting_reg,train,2008-09-30,0.3669333979019318
gradient_boosting_reg,train,2008-10-31,0.2779181669057158
gradient_boosting_reg,train,2008-11-28,0.10082963294510636
gradient_boosting_reg,train,2008-12-31,0.31785349556527126
gradient_boosting_reg,train,2009-01-30,0.2624658830700926
gradient_boosting_reg,train,2009-02-27,0.24059007211183941
gradient_boosting_reg,train,2009-03-31,0.46934839237526543
gradient_boosting_reg,train,2009-04-30,0.15755003969551118
gradient_boosting_reg,train,2009-05-29,0.06635033691804179
gradient_boosting_reg,train,2009-06-30,0.1281661433670309
gradient_boosting_reg,train,2009-07-31,0.15304975769971774
gradient_boosting_reg,train,2009-08-31,0.17767846910767757
gradient_boosting_reg,train,2009-09-30,0.2896561679822996
gradient_boosting_reg,train,2009-10-30,0.03593095483293456
gradient_boosting_reg,train,2009-11-30,0.13681770370140092
gradient_boosting_reg,train,2009-12-31,0.16905754689006525
gradient_boosting_reg,train,2010-01-29,0.13538704689117922
gradient_boosting_reg,train,2010-02-26,0.18168149995460983
gradient_boosting_reg,train,2010-03-31,0.2316378366244388
gradient_boosting_reg,train,2010-04-30,0.314030959050852
gradient_boosting_reg,train,2010-05-28,0.36239470789520334
