model,split,MthCalDt,rank_ic_t,num_obs
mlp_er_train,validation,2012-08-31,0.07632819720111972,6638
mlp_er_train,validation,2012-09-28,-0.09680344435481807,6610
mlp_er_train,validation,2012-10-31,0.03329182636723187,6592
mlp_er_train,validation,2012-11-30,0.12373743129005729,6587
mlp_er_train,validation,2012-12-31,0.16731383558229088,6581
mlp_er_train,validation,2013-01-31,0.09207769382348008,6571
mlp_er_train,validation,2013-02-28,0.16652529080395698,6574
mlp_er_train,validation,2013-03-28,-0.02684712817781504,6551
mlp_er_train,validation,2013-04-30,0.20209648207368844,6563
mlp_er_train,validation,2013-05-31,0.06754318465159348,6583
mlp_er_train,validation,2013-06-28,0.16428125207120647,6602
mlp_er_train,validation,2013-07-31,-0.06277252578893161,6626
mlp_er_train,validation,2013-08-30,0.14001976160610458,6645
mlp_er_train,validation,2013-09-30,0.17939266135919682,6657
mlp_er_train,validation,2013-10-31,0.15485250658123118,6688
mlp_er_train,validation,2013-11-29,0.09906138322528939,6714
mlp_er_train,validation,2013-12-31,-0.23615886545615178,6716
mlp_er_train,validation,2014-01-31,0.11024881048225621,6746
mlp_er_train,validation,2014-02-28,0.09848587505270218,6767
mlp_er_train,validation,2014-03-31,0.004171087586012045,6793
mlp_er_train,validation,2014-04-30,0.11212135668630957,6815
mlp_er_train,validation,2014-05-30,0.07258528612619904,6849
mlp_er_train,validation,2014-06-30,-0.05964697960531608,6886
mlp_er_train,validation,2014-07-31,0.1665639616348361,6922
mlp_er_train,validation,2014-08-29,-0.13184727839621666,6946
mlp_er_train,validation,2014-09-30,0.165843900862429,6951
mlp_er_train,validation,2014-10-31,0.055667294748943615,6977
mlp_er_train,validation,2014-11-28,0.10040328412244347,7001
mlp_er_train,validation,2014-12-31,-0.08279547326059349,6993
mlp_er_train,validation,2015-01-30,0.02925371372110468,6981
mlp_er_train,validation,2015-02-27,0.0643881872130021,6995
mlp_er_train,validation,2015-03-31,-0.13057809312359014,7000
mlp_er_train,validation,2015-04-30,0.0866114189142056,7028
mlp_er_train,validation,2015-05-29,0.09062807845028067,7048
mlp_er_train,validation,2015-06-30,0.171624063723544,7085
mlp_er_train,validation,2015-07-31,0.020353695213479996,7140
mlp_er_train,validation,2015-08-31,0.11551758146337035,7146
mlp_er_train,validation,2015-09-30,0.07844588172152861,7146
mlp_er_train,validation,2015-10-30,-0.010535447703862152,7151
mlp_er_train,validation,2015-11-30,-0.005925842160335929,7177
xgb_classifier,test,2015-12-31,0.3704257448252602,7175
xgb_classifier,test,2016-01-29,0.03808180609846325,7146
xgb_classifier,test,2016-02-29,-0.12059007046488937,7134
xgb_classifier,test,2016-03-31,-0.1390431427029264,7115
xgb_classifier,test,2016-04-29,0.08753780468615749,7106
xgb_classifier,test,2016-05-31,0.17327362783228759,7115
xgb_classifier,test,2016-06-30,-0.07367446765841243,7119
xgb_classifier,test,2016-07-29,-0.02447168358529244,7119
xgb_classifier,test,2016-08-31,0.015862247209012158,7082
xgb_classifier,test,2016-09-30,0.18214380842976557,7090
