model,split,mean_rank_ic,rank_ic_tstat,hit_rate,mean_top_bottom_spread,spread_tstat,num_months
ft_base_seed362559_classifier,test,0.08735665409468557,7.519397431110715,0.7663551401869159,0.00930933840572834,1.5721376894592465,107
ft_small_seed362559_er_train,validation,0.08668531235765002,6.4960290181812645,0.8666666666666667,0.012151466682553291,2.7479182372899578,60
ft_transformer_er_train,validation,0.08668531235765002,6.4960290181812645,0.8666666666666667,0.012151466682553291,2.7479182372899578,60
ft_small_seed362559_er_train,test,0.08559945325404474,7.573447439113496,0.7850467289719626,0.011705419048666954,2.0762880551707523,107
ft_transformer_er_train,test,0.08559945325404474,7.573447439113496,0.7850467289719626,0.011705419048666954,2.0762880551707523,107
temporal_tabular_tiny_random_er_train,test,0.08390070985271557,8.430126016473103,0.7850467289719626,0.010127277113497257,1.8602235571292973,107
ft_reg_seed362559_classifier,validation,0.08048013827769103,6.070619471756077,0.8166666666666667,0.008747640065848827,1.7331662722961343,60
ft_small_lr5e5_seed362559_er_train,test,0.08039236972934671,7.461718691586646,0.7757009345794392,0.011599892750382423,2.138041281691591,107
ft_small_lr5e5_seed362559_er_train,validation,0.08031848824564423,6.0252913457965365,0.85,0.01224596705287695,2.858267589934086,60
xgb_classifier,test,0.07948290614055661,6.39794959104103,0.7570093457943925,0.011215709149837494,1.9981508148654952,107
temporal_tabular_tiny_random_er_train,validation,0.07900757765817536,7.352566299703722,0.8666666666666667,0.011360115371644497,3.077774185931047,60
ft_base_seed362559_classifier,validation,0.07832816646319977,6.461230995502382,0.85,0.009355857037007809,1.9628920487222155,60
temporal_tabular_small_mlp_warmstart_classifier,validation,0.07724977971157254,6.669269676258719,0.8333333333333334,0.011668943800032139,2.8136115556515384,60
ft_lr5e5_seed362559_classifier,validation,0.07667295242568964,5.371127993686465,0.7833333333333333,0.008006323128938675,1.5978383251942416,60
xgb_classifier,validation,0.07477702744750117,5.975759394213301,0.8333333333333334,0.010321352630853653,2.420473009953125,60
temporal_tabular_small_mlp_warmstart_er_train,test,0.07428840486011465,6.90504315492001,0.7757009345794392,0.013631901703774929,3.071596168805366,107
mlp_er_train,test,0.07382412623735082,7.092180982978822,0.7850467289719626,0.012284881435334682,2.6758872003020757,107
mlp_classifier,validation,0.07356422897767814,6.343087478421236,0.85,0.009067797102034092,2.1625455531932243,60
ft_lr2e5_seed362559_classifier,validation,0.07288105153246559,6.278549012563382,0.85,0.009118092246353626,1.994389084139456,60
temporal_tabular_small_ft_warmstart_er_train,test,0.07210055704262386,7.367018743214943,0.7383177570093458,0.011413763277232647,2.8081946087343477,107
ft_lr5e5_seed362559_er_train,test,0.06930190577662426,8.58674372592682,0.8317757009345794,0.012146581895649433,2.7917606697152437,107
temporal_tabular_small_mlp_branch_er_train,test,0.06622848481473693,6.872709910696156,0.7663551401869159,0.012387423776090145,3.0151862088249177,107
ft_reg_seed362559_er_train,test,0.06107285920710495,7.475307218698201,0.7476635514018691,0.011616203002631664,3.028738993840319,107
ft_lr2e5_seed362559_er_train,test,0.06086738683095293,6.995837228290679,0.7663551401869159,0.014669922180473804,3.6620461968997864,107
temporal_tabular_transformer_seed362559_er_train,test,0.058754592100087315,5.481687349210512,0.7289719626168224,0.01599736511707306,4.295832897511394,107
temporal_tabular_small_random_er_train,validation,0.058305597735209644,5.172353054817327,0.7333333333333333,0.009437334723770618,3.0453220227410958,60
ft_base_seed362559_er_train,test,0.05742628717499331,6.768813225497628,0.7476635514018691,0.014713986776769161,3.798646316508984,107
ft_lr5e5_seed362559_er_train,validation,0.05383633519544838,4.6614872957851,0.75,0.006794045679271221,1.772793502901191,60
